ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,,
10084,영동선,1,45.285,45.84,0.555,0.4397,1001.9,555,5,0,-1001.9,0,79772,89.20 ,83.30 ,86.10 ,0,,
10085,영동선,1,45.84,45.99791,0.15791,0.4397,0,680,5,0,1001.9,0,79772,100.00 ,100.00 ,100.00 ,0,,
10086,영동선,1,45.99791,46.52,0.52209,0.8958,0,680,5,-0.4561,0,0,79772,100.00 ,100.00 ,100.00 ,0,,
10087,영동선,1,46.52,47.66756,1.14756,0.8958,1700,1190,5,0,-1700,0,79772,100.00 ,100.00 ,100.00 ,0,,
10088,영동선,1,47.66756,47.71,0.04244,-0.6189,1700,1190,5,1.5147,0,0,79772,100.00 ,100.00 ,100.00 ,0,,
10089,영동선,1,47.71,48.205,0.495,-0.6189,0,495,5,0,1700,0,79772,100.00 ,100.00 ,100.00 ,0,,
10090,영동선,1,48.205,50.011302,1.806302,-0.6189,4800,1806.302,5,0,-4800,0,76795,91.20 ,80.30 ,85.03 ,0,,
10091,영동선,1,50.011302,50.294969,0.283667,-0.6189,3200,283.667,5,0,1600,0,76795,88.80 ,87.10 ,87.95 ,0,,
10092,영동선,1,50.294969,50.41179,0.116821,-0.6189,0,715.031,5,0,3200,0,76795,100.00 ,100.00 ,100.00 ,0,,
10093,영동선,1,50.41179,51.01,0.59821,-2.719,0,715.031,5,2.1001,0,0,76795,98.50 ,91.30 ,95.60 ,0,,
10094,영동선,1,51.01,51.42855,0.41855,-2.719,2400,418.55,5,0,-2400,0,76795,98.40 ,97.90 ,98.10 ,0,,
10095,영동선,1,51.42855,51.62695,0.1984,-2.719,0,2446.45,5,0,2400,0,65962,98.30 ,98.30 ,98.30 ,0,,
10096,영동선,1,51.62695,51.94,0.31305,-0.6621,0,2446.45,5,-2.0569,0,0,65962,98.30 ,97.60 ,97.95 ,0,,
10097,영동선,1,51.94,53.5043,1.5643,-0.6621,0,2446.45,4,0,0,1,65962,96.00 ,88.50 ,91.88 ,0,,
10098,영동선,1,53.5043,53.875,0.3707,0.9104,0,2446.45,4,-1.5725,0,0,65962,91.90 ,89.70 ,90.67 ,0,,
10099,영동선,1,53.875,54.25,0.375,0.9104,1000,375,4,0,-1000,0,65962,91.90 ,88.00 ,89.07 ,0,,
10100,영동선,1,54.25,54.79328,0.54328,0.9104,0,1330,4,0,1000,0,65962,93.30 ,84.40 ,88.91 ,0,,
10101,영동선,1,54.79328,55.58,0.78672,0.7276,0,1330,4,0.1828,0,0,65962,98.40 ,90.20 ,95.69 ,0,,
10102,영동선,1,55.58,55.847,0.267,0.7276,2000,619.248,4,0,-2000,0,65962,98.10 ,98.10 ,98.10 ,0,,
10103,영동선,1,55.847,55.997,0.15,0.9795,2000,619.248,4,-0.2519,0,0,65962,100.00 ,100.00 ,100.00 ,0,,
10104,영동선,1,55.997,56.199248,0.202248,0.7276,2000,619.248,4,0.2519,0,0,65962,100.00 ,100.00 ,100.00 ,0,,
10105,영동선,1,56.199248,56.73901,0.539762,0.7276,0,900.752,4,0,2000,0,65962,97.40 ,86.90 ,92.05 ,0,,
10106,영동선,1,56.73901,57.1,0.36099,2.9492,0,900.752,4,-2.2216,0,0,65962,98.20 ,91.10 ,96.30 ,0,,
10107,영동선,1,57.1,57.64569,0.54569,2.9492,1400,1090,4,0,-1400,0,65962,98.90 ,98.40 ,98.67 ,0,,
10108,영동선,1,57.64569,58.19,0.54431,2.4931,1400,1090,4,0.4561,0,0,65962,98.90 ,98.20 ,98.56 ,0,,
10109,영동선,1,58.19,58.372,0.182,2.4931,0,575,4,0,1400,0,65962,98.50 ,98.50 ,98.50 ,0,,
10110,영동선,1,58.372,58.765,0.393,1.5,0,575,4,0.9931,0,0,65962,98.70 ,98.60 ,98.63 ,0,,
10111,영동선,1,58.765,59.392,0.627,1.5,1000,780,4,0,-1000,0,65962,98.70 ,98.30 ,98.49 ,0,,
10112,영동선,1,59.392,59.545,0.153,-0.8046,1000,780,4,2.3046,0,0,65962,98.10 ,98.10 ,98.10 ,0,,
10113,영동선,1,59.545,59.94479,0.39979,-0.8046,1091.3,970,4,0,-91.3,0,54337,98.30 ,97.60 ,97.80 ,0,,
